Test,Model,Trial,Score,pValue
Flowers/Insects & Pleasant/Unpleasant,Original Finding,1,1.35,0.00000001
Instruments/Weapons & Pleasant/Unpleasant,Original Finding,1,1.66,0.0000000001
European Names/African Names & Pleasant/Unpleasant,Original Finding,1,1.17,0.00001
Male/Female & Career/Family,Original Finding,1,0.72,0.01
Math/Arts & Male/Female,Original Finding,1,0.82,0.01
Science/Arts & Male/Female,Original Finding,1,1.47,0
Mental Disease/Physical Disease & Temporary/Permenant ,Original Finding,1,1.01,0.001
Young Names/Old Names & Pleasant/Unpleasant,Original Finding,1,1.42,0.01
Flowers/Insects & Pleasant/Unpleasant,fastText,1,0.5793,0.12
Instruments/Weapons & Pleasant/Unpleasant,fastText,1,1.1028,0.006
European Names/African Names & Pleasant/Unpleasant,fastText,1,1.6605,0
Male/Female & Career/Family,fastText,1,1.4814,0.001
Math/Arts & Male/Female,fastText,1,-0.361,0.75
Science/Arts & Male/Female,fastText,1,0.9405,0.041
Mental Disease/Physical Disease & Temporary/Permenant ,fastText,1,0.6604,0.14
Young Names/Old Names & Pleasant/Unpleasant,fastText,1,0.274,0.3
Flowers/Insects & Pleasant/Unpleasant,fastText,2,0.5919,0.12
Instruments/Weapons & Pleasant/Unpleasant,fastText,2,1.1023,0.0062
European Names/African Names & Pleasant/Unpleasant,fastText,2,1.6121,0.000038
Male/Female & Career/Family,fastText,2,1.5575,0.00054
Math/Arts & Male/Female,fastText,2,-0.4662,0.81
Science/Arts & Male/Female,fastText,2,0.949,0.036
Mental Disease/Physical Disease & Temporary/Permenant ,fastText,2,0.6639,0.14
Young Names/Old Names & Pleasant/Unpleasant,fastText,2,0.2054,0.35
Flowers/Insects & Pleasant/Unpleasant,fastText,3,0.584,0.12
Instruments/Weapons & Pleasant/Unpleasant,fastText,3,1.1198,0.0054
European Names/African Names & Pleasant/Unpleasant,fastText,3,1.6221,0.000038
Male/Female & Career/Family,fastText,3,1.533,0.00047
Math/Arts & Male/Female,fastText,3,-0.288,0.71
Science/Arts & Male/Female,fastText,3,1.0244,0.027
Mental Disease/Physical Disease & Temporary/Permenant ,fastText,3,0.6157,0.16
Young Names/Old Names & Pleasant/Unpleasant,fastText,3,0.3647,0.25
Flowers/Insects & Pleasant/Unpleasant,fastText,4,0.6136,0.11
Instruments/Weapons & Pleasant/Unpleasant,fastText,4,1.0937,0.0066
European Names/African Names & Pleasant/Unpleasant,fastText,4,1.6025,0.000038
Male/Female & Career/Family,fastText,4,1.5267,0.00062
Math/Arts & Male/Female,fastText,4,-0.3346,0.73
Science/Arts & Male/Female,fastText,4,1.1315,0.013
Mental Disease/Physical Disease & Temporary/Permenant ,fastText,4,0.511,0.2
Young Names/Old Names & Pleasant/Unpleasant,fastText,4,0.2989,0.29
Flowers/Insects & Pleasant/Unpleasant,fastText,5,0.5785,0.12
Instruments/Weapons & Pleasant/Unpleasant,fastText,5,1.1187,0.0053
European Names/African Names & Pleasant/Unpleasant,fastText,5,1.6174,0.000027
Male/Female & Career/Family,fastText,5,1.5361,0.0007
Math/Arts & Male/Female,fastText,5,-0.3462,0.74
Science/Arts & Male/Female,fastText,5,1.0901,0.015
Mental Disease/Physical Disease & Temporary/Permenant ,fastText,5,0.685,0.13
Young Names/Old Names & Pleasant/Unpleasant,fastText,5,0.3549,0.25
Flowers/Insects & Pleasant/Unpleasant,w2v,1,1.0988,0.0095
Instruments/Weapons & Pleasant/Unpleasant,w2v,1,1.3264,0.00083
European Names/African Names & Pleasant/Unpleasant,w2v,1,1.2247,0.0018
Male/Female & Career/Family,w2v,1,1.6986,0.000078
Math/Arts & Male/Female,w2v,1,0.7978,0.063
Science/Arts & Male/Female,w2v,1,1.1707,0.014
Mental Disease/Physical Disease & Temporary/Permenant ,w2v,1,1.3782,0.0097
Young Names/Old Names & Pleasant/Unpleasant,w2v,1,0.4134,0.22
Flowers/Insects & Pleasant/Unpleasant,w2v,2,0.9178,0.028
Instruments/Weapons & Pleasant/Unpleasant,w2v,2,1.4043,0.00025
European Names/African Names & Pleasant/Unpleasant,w2v,2,1.0305,0.011
Male/Female & Career/Family,w2v,2,1.6896,0.000078
Math/Arts & Male/Female,w2v,2,0.9615,0.031
Science/Arts & Male/Female,w2v,2,1.1813,0.013
Mental Disease/Physical Disease & Temporary/Permenant ,w2v,2,1.323,0.012
Young Names/Old Names & Pleasant/Unpleasant,w2v,2,0.3008,0.29
Flowers/Insects & Pleasant/Unpleasant,w2v,3,0.8337,0.043
Instruments/Weapons & Pleasant/Unpleasant,w2v,3,1.3891,0.00036
European Names/African Names & Pleasant/Unpleasant,w2v,3,1.1383,0.0044
Male/Female & Career/Family,w2v,3,1.748,0
Math/Arts & Male/Female,w2v,3,1.1462,0.01
Science/Arts & Male/Female,w2v,3,1.398,0.0026
Mental Disease/Physical Disease & Temporary/Permenant ,w2v,3,1.2886,0.015
Young Names/Old Names & Pleasant/Unpleasant,w2v,3,0.4268,0.21
