Test,Model,Trial,Score,pValue
Unpleasant vs. Pleasant,fastText,1,-0.2412,0.69
Liberal vs. Conservative,fastText,1,0.8421,0.033
Climate Change Activist vs. Climate Change Denier,fastText,1,-0.1237,0.6
Trickle Up Economics vs. Trickle Down Economics,fastText,1,-0.5626,0.88
Prochoice vs. Prolife,fastText,1,0.4496,0.17
Lazy vs. Hard Working,fastText,1,-0.3241,0.75
Peace vs. War,fastText,1,0.656,0.079
Pro-Immigration vs. Anti-Immigration,fastText,1,0.6104,0.094
Trust vs. Deceptive,fastText,1,0.7518,0.052
Evil vs. Good,fastText,1,-0.0534,0.54
Family vs. Career,fastText,1,0.1314,0.39
Female names vs. Male names,fastText,1,0.8676,0.028
Female terms vs. Male terms,fastText,1,1.2321,0.0019
STEM vs. Arts,fastText,1,0.551,0.12
Rich vs. Poor,fastText,1,0.1906,0.35
Progressive vs. Moderate,fastText,1,1.0024,0.013
Transparent vs. Secretive,fastText,1,0.5754,0.11
Atheist vs. Evangelical,fastText,1,0.5964,0.1
Fair vs. Unfair,fastText,1,0.3679,0.22
Old people’s names vs. Young people’s names,fastText,1,0.1349,0.39
Gun Control vs. Gun Rights,fastText,1,0.61,0.097
Northern States vs. Southern States,fastText,1,1.3077,0.00011
Unpleasant vs. Pleasant,fastText,2,-0.1848,0.65
Liberal vs. Conservative,fastText,2,0.9485,0.017
Climate Change Activist vs. Climate Change Denier,fastText,2,-0.1365,0.61
Trickle Up Economics vs. Trickle Down Economics,fastText,2,-0.8236,0.97
Prochoice vs. Prolife,fastText,2,0.4645,0.16
Lazy vs. Hard Working,fastText,2,-0.188,0.65
Peace vs. War,fastText,2,0.5665,0.11
Pro-Immigration vs. Anti-Immigration,fastText,2,0.7361,0.055
Trust vs. Deceptive,fastText,2,0.775,0.046
Evil vs. Good,fastText,2,-0.0894,0.57
Family vs. Career,fastText,2,0.2058,0.33
Female names vs. Male names,fastText,2,1.0539,0.0077
Female terms vs. Male terms,fastText,2,1.1624,0.0032
STEM vs. Arts,fastText,2,0.4645,0.16
Rich vs. Poor,fastText,2,0.1589,0.37
Progressive vs. Moderate,fastText,2,1.0216,0.012
Transparent vs. Secretive,fastText,2,0.5627,0.11
Atheist vs. Evangelical,fastText,2,0.7178,0.06
Fair vs. Unfair,fastText,2,0.431,0.18
Old people’s names vs. Young people’s names,fastText,2,0.0028,0.5
Gun Control vs. Gun Rights,fastText,2,0.3475,0.24
Northern States vs. Southern States,fastText,2,1.3462,0.000049
Unpleasant vs. Pleasant,fastText,3,-0.1788,0.65
Liberal vs. Conservative,fastText,3,0.9788,0.014
Climate Change Activist vs. Climate Change Denier,fastText,3,-0.1002,0.58
Trickle Up Economics vs. Trickle Down Economics,fastText,3,-0.6376,0.91
Prochoice vs. Prolife,fastText,3,0.6597,0.077
Lazy vs. Hard Working,fastText,3,-0.3094,0.74
Peace vs. War,fastText,3,0.5236,0.13
Pro-Immigration vs. Anti-Immigration,fastText,3,0.7266,0.058
Trust vs. Deceptive,fastText,3,0.7115,0.062
Evil vs. Good,fastText,3,-0.0645,0.55
Family vs. Career,fastText,3,0.2721,0.28
Female names vs. Male names,fastText,3,1.0376,0.0082
Female terms vs. Male terms,fastText,3,1.2256,0.0021
STEM vs. Arts,fastText,3,0.4301,0.18
Rich vs. Poor,fastText,3,0.1485,0.38
Progressive vs. Moderate,fastText,3,1.0797,0.0078
Transparent vs. Secretive,fastText,3,0.5978,0.099
Atheist vs. Evangelical,fastText,3,0.6196,0.091
Fair vs. Unfair,fastText,3,0.3841,0.21
Old people’s names vs. Young people’s names,fastText,3,0.1229,0.4
Gun Control vs. Gun Rights,fastText,3,0.2582,0.3
Northern States vs. Southern States,fastText,3,1.4826,0.000027
