,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,-0.0643,-0.2264,6.8e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.2419,0.956,1.7e-02
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.0097,0.0411,4.7e-01
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,-0.1019,-0.6293,9.1e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.179,0.6441,8.3e-02
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,-0.1044,-0.274,7.2e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.2224,0.7771,4.5e-02
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.1502,0.7434,5.3e-02
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,0.2106,0.7501,5.2e-02
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,-0.0177,-0.0533,5.4e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.1293,0.2167,3.2e-01
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.2748,1.0039,1.1e-02
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.2776,1.2803,1.2e-03
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,0.1147,0.3651,2.2e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,0.104,0.2406,3.1e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,0.2198,0.9596,1.7e-02
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.448,0.6137,9.4e-02
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.1541,0.6138,9.4e-02
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.1353,0.4291,1.8e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,0.0129,0.0454,4.6e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.0765,0.3529,2.3e-01
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.4003,1.3475,1.4e-04
