,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,0.0249,0.1111,4.1e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.2116,0.4884,1.5e-01
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.1716,0.5119,1.4e-01
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,-0.0315,-0.0788,5.7e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,-0.0749,-0.2065,6.7e-01
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,-0.1614,-0.3311,7.6e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.0716,0.1217,4.0e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,-0.0966,-0.5138,8.7e-01
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,0.0369,0.1519,3.8e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.0897,0.2664,2.9e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.3682,0.725,5.8e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.1106,0.3195,2.5e-01
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.0659,0.2207,3.2e-01
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,-0.0977,-0.2327,6.9e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,0.0576,0.1071,4.1e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,-0.1462,-0.4906,8.5e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.0613,0.1211,4.0e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,-0.0595,-0.2576,7.0e-01
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,-0.0368,-0.1192,6.0e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,-0.0185,-0.0339,5.3e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.1738,0.6123,9.4e-02
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.2821,0.66,8.1e-02
