,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,0.0648,0.1916,3.4e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.3401,0.8676,2.8e-02
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.2233,0.8878,2.5e-02
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,0.0119,0.0502,4.6e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.084,0.4328,1.8e-01
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,0.0869,0.2326,3.1e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.0395,0.1266,4.0e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.0758,0.3425,2.4e-01
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,-0.0121,-0.0366,5.3e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.0321,0.098,4.2e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.2617,0.8828,2.6e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.2399,0.9583,1.7e-02
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.183,0.7076,6.4e-02
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,-0.0946,-0.2839,7.3e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,-0.0645,-0.1025,5.9e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,-0.0557,-0.317,7.5e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,-0.0237,-0.0613,5.5e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.1134,0.4249,1.8e-01
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,-0.0117,-0.0459,5.4e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,-0.0389,-0.1708,6.4e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.3636,1.1325,4.6e-03
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.3026,0.8236,3.5e-02
