Test,Model,Trial,Score,pValue
Flowers/Insects & Pleasant/Unpleasant,Original Finding,1,1.35,0.00000001
Instruments/Weapons & Pleasant/Unpleasant,Original Finding,1,1.66,0.0000000001
European Names/African Names & Pleasant/Unpleasant,Original Finding,1,1.17,0.00001
Male/Female & Career/Family,Original Finding,1,0.72,0.01
Math/Arts & Male/Female,Original Finding,1,0.82,0.01
Science/Arts & Male/Female,Original Finding,1,1.47,0
Mental Disease/Physical Disease & Temporary/Permenant ,Original Finding,1,1.01,0.001
Young Names/Old Names & Pleasant/Unpleasant,Original Finding,1,1.42,0.01
Flowers/Insects & Pleasant/Unpleasant,fastText,1,0.517,0.15
Instruments/Weapons & Pleasant/Unpleasant,fastText,1,1.043,0.0089
European Names/African Names & Pleasant/Unpleasant,fastText,1,1.7046,0.000022
Male/Female & Career/Family,fastText,1,1.4284,0.0013
Math/Arts & Male/Female,fastText,1,-0.4752,0.81
Science/Arts & Male/Female,fastText,1,0.7003,0.11
Mental Disease/Physical Disease & Temporary/Permenant ,fastText,1,0.617,0.16
Young Names/Old Names & Pleasant/Unpleasant,fastText,1,0.1147,0.42
Flowers/Insects & Pleasant/Unpleasant,fastText,2,0.5374,0.14
Instruments/Weapons & Pleasant/Unpleasant,fastText,2,1.0457,0.0085
European Names/African Names & Pleasant/Unpleasant,fastText,2,1.6662,0.000027
Male/Female & Career/Family,fastText,2,1.5295,0.00062
Math/Arts & Male/Female,fastText,2,-0.5921,0.87
Science/Arts & Male/Female,fastText,2,0.7044,0.11
Mental Disease/Physical Disease & Temporary/Permenant ,fastText,2,0.6272,0.15
Young Names/Old Names & Pleasant/Unpleasant,fastText,2,0.0167,0.49
Flowers/Insects & Pleasant/Unpleasant,fastText,3,0.5228,0.15
Instruments/Weapons & Pleasant/Unpleasant,fastText,3,1.0575,0.0083
European Names/African Names & Pleasant/Unpleasant,fastText,3,1.6704,0.000016
Male/Female & Career/Family,fastText,3,1.4962,0.0007
Math/Arts & Male/Female,fastText,3,-0.4252,0.79
Science/Arts & Male/Female,fastText,3,0.7623,0.092
Mental Disease/Physical Disease & Temporary/Permenant ,fastText,3,0.5748,0.18
Young Names/Old Names & Pleasant/Unpleasant,fastText,3,0.1854,0.36
Flowers/Insects & Pleasant/Unpleasant,fastText,4,0.5517,0.13
Instruments/Weapons & Pleasant/Unpleasant,fastText,4,1.0292,0.0096
European Names/African Names & Pleasant/Unpleasant,fastText,4,1.6537,0.000032
Male/Female & Career/Family,fastText,4,1.4917,0.00085
Math/Arts & Male/Female,fastText,4,-0.4668,0.81
Science/Arts & Male/Female,fastText,4,0.8677,0.062
Mental Disease/Physical Disease & Temporary/Permenant ,fastText,4,0.4766,0.22
Young Names/Old Names & Pleasant/Unpleasant,fastText,4,0.0789,0.44
Flowers/Insects & Pleasant/Unpleasant,fastText,5,0.5171,0.15
Instruments/Weapons & Pleasant/Unpleasant,fastText,5,1.0568,0.0078
European Names/African Names & Pleasant/Unpleasant,fastText,5,1.661,0.000022
Male/Female & Career/Family,fastText,5,1.4905,0.00093
Math/Arts & Male/Female,fastText,5,-0.4515,0.8
Science/Arts & Male/Female,fastText,5,0.8691,0.064
Mental Disease/Physical Disease & Temporary/Permenant ,fastText,5,0.6276,0.16
Young Names/Old Names & Pleasant/Unpleasant,fastText,5,0.0981,0.43
Flowers/Insects & Pleasant/Unpleasant,w2v,1,1.1108,0.009
Instruments/Weapons & Pleasant/Unpleasant,w2v,1,1.337,0.00073
European Names/African Names & Pleasant/Unpleasant,w2v,1,1.2133,0.0021
Male/Female & Career/Family,w2v,1,1.6874,0.000078
Math/Arts & Male/Female,w2v,1,0.6098,0.12
Science/Arts & Male/Female,w2v,1,1.0042,0.035
Mental Disease/Physical Disease & Temporary/Permenant ,w2v,1,1.4026,0.0087
Young Names/Old Names & Pleasant/Unpleasant,w2v,1,0.565,0.15
Flowers/Insects & Pleasant/Unpleasant,w2v,2,0.9343,0.026
Instruments/Weapons & Pleasant/Unpleasant,w2v,2,1.4146,0.00023
European Names/African Names & Pleasant/Unpleasant,w2v,2,1.0105,0.012
Male/Female & Career/Family,w2v,2,1.673,0.000078
Math/Arts & Male/Female,w2v,2,0.7714,0.069
Science/Arts & Male/Female,w2v,2,0.9756,0.04
Mental Disease/Physical Disease & Temporary/Permenant ,w2v,2,1.3503,0.012
Young Names/Old Names & Pleasant/Unpleasant,w2v,2,0.4551,0.2
Flowers/Insects & Pleasant/Unpleasant,w2v,3,0.8576,0.038
Instruments/Weapons & Pleasant/Unpleasant,w2v,3,1.3958,0.00035
European Names/African Names & Pleasant/Unpleasant,w2v,3,1.1105,0.0057
Male/Female & Career/Family,w2v,3,1.7312,0.000078
Math/Arts & Male/Female,w2v,3,0.9897,0.027
Science/Arts & Male/Female,w2v,3,1.2298,0.0087
Mental Disease/Physical Disease & Temporary/Permenant ,w2v,3,1.3254,0.013
Young Names/Old Names & Pleasant/Unpleasant,w2v,3,0.5762,0.14
