Test,Model,Trial,Score,pValue
Unpleasant vs. Pleasant,fastText,1,-0.1505,6.20E-01
Liberal vs. Conservative,fastText,1,1.1301,4.40E-03
Climate Change Activist vs. Climate Change Denier,fastText,1,0.0142,4.90E-01
Trickle Up Economics vs. Trickle Down Economics,fastText,1,-0.3491,7.70E-01
Prochoice vs. Prolife,fastText,1,0.9504,1.80E-02
Lazy vs. Hard Working,fastText,1,-0.1955,6.60E-01
Peace vs. War,fastText,1,1.1009,7.00E-03
Pro-Immigration vs. Anti-Immigration,fastText,1,0.4286,1.80E-01
Trust vs. Deceptive,fastText,1,0.6027,9.80E-02
Evil vs. Good,fastText,1,0.0721,4.40E-01
Family vs. Career,fastText,1,-0.0113,5.10E-01
Female names vs. Male names,fastText,1,1.5594,2.20E-05
Female terms vs. Male terms,fastText,1,1.4116,1.40E-04
STEM vs. Arts,fastText,1,0.4525,1.70E-01
Rich vs. Poor,fastText,1,0.2098,3.30E-01
Progressive vs. Moderate,fastText,1,1.2332,2.20E-03
Transparent vs. Secretive,fastText,1,0.6063,9.60E-02
Atheist vs. Evangelical,fastText,1,0.5954,1.00E-01
Fair vs. Unfair,fastText,1,0.5317,1.30E-01
Old people’s names vs. Young people’s names,fastText,1,0.7092,6.20E-02
Gun Control vs. Gun Rights,fastText,1,0.3555,2.30E-01
Northern States vs. Southern States,fastText,1,1.6,0.00E+00
Unpleasant vs. Pleasant,fastText,2,-0.0944,5.80E-01
Liberal vs. Conservative,fastText,2,1.1845,2.80E-03
Climate Change Activist vs. Climate Change Denier,fastText,2,0.071,4.40E-01
Trickle Up Economics vs. Trickle Down Economics,fastText,2,-0.7203,9.40E-01
Prochoice vs. Prolife,fastText,2,1.0241,1.10E-02
Lazy vs. Hard Working,fastText,2,-0.0462,5.40E-01
Peace vs. War,fastText,2,1.0536,9.20E-03
Pro-Immigration vs. Anti-Immigration,fastText,2,0.5433,1.20E-01
Trust vs. Deceptive,fastText,2,0.672,7.40E-02
Evil vs. Good,fastText,2,-0.0365,5.30E-01
Family vs. Career,fastText,2,0.061,4.50E-01
Female names vs. Male names,fastText,2,1.6692,5.40E-06
Female terms vs. Male terms,fastText,2,1.3402,3.70E-04
STEM vs. Arts,fastText,2,0.3193,2.50E-01
Rich vs. Poor,fastText,2,0.2338,3.10E-01
Progressive vs. Moderate,fastText,2,1.2292,2.20E-03
Transparent vs. Secretive,fastText,2,0.5369,1.20E-01
Atheist vs. Evangelical,fastText,2,0.6758,7.20E-02
Fair vs. Unfair,fastText,2,0.591,1.00E-01
Old people’s names vs. Young people’s names,fastText,2,0.6211,9.00E-02
Gun Control vs. Gun Rights,fastText,2,0.1269,4.00E-01
Northern States vs. Southern States,fastText,2,1.6228,5.40E-06
Unpleasant vs. Pleasant,fastText,3,-0.0608,5.50E-01
Liberal vs. Conservative,fastText,3,1.2258,1.80E-03
Climate Change Activist vs. Climate Change Denier,fastText,3,0.0738,4.40E-01
Trickle Up Economics vs. Trickle Down Economics,fastText,3,-0.4717,8.40E-01
Prochoice vs. Prolife,fastText,3,1.1525,4.40E-03
Lazy vs. Hard Working,fastText,3,-0.1593,6.30E-01
Peace vs. War,fastText,3,0.966,1.70E-02
Pro-Immigration vs. Anti-Immigration,fastText,3,0.6165,9.20E-02
Trust vs. Deceptive,fastText,3,0.576,1.10E-01
Evil vs. Good,fastText,3,-0.0532,5.50E-01
Family vs. Career,fastText,3,0.1596,3.70E-01
Female names vs. Male names,fastText,3,1.6443,1.10E-05
Female terms vs. Male terms,fastText,3,1.4,1.70E-04
STEM vs. Arts,fastText,3,0.2856,2.70E-01
Rich vs. Poor,fastText,3,0.1903,3.50E-01
Progressive vs. Moderate,fastText,3,1.2709,1.50E-03
Transparent vs. Secretive,fastText,3,0.6341,8.60E-02
Atheist vs. Evangelical,fastText,3,0.6489,8.10E-02
Fair vs. Unfair,fastText,3,0.5248,1.30E-01
Old people’s names vs. Young people’s names,fastText,3,0.7046,6.30E-02
Gun Control vs. Gun Rights,fastText,3,0.035,4.70E-01
Northern States vs. Southern States,fastText,3,1.7434,0
Unpleasant vs. Pleasant,fastText,4,-0.1537,6.30E-01
Liberal vs. Conservative,fastText,4,1.2359,1.60E-03
Climate Change Activist vs. Climate Change Denier,fastText,4,0.1586,3.70E-01
Trickle Up Economics vs. Trickle Down Economics,fastText,4,-0.4357,8.20E-01
Prochoice vs. Prolife,fastText,4,1.1225,5.80E-03
Lazy vs. Hard Working,fastText,4,-0.1355,6.10E-01
Peace vs. War,fastText,4,1.2269,2.70E-03
