Test,Model,Trial,Score
AP,w2v,1,0.562189055
BLESS,w2v,1,0.63
Battig,w2v,1,0.335499904
ESSLI_2c,w2v,1,0.6
ESSLI_2b,w2v,1,0.75
ESSLI_1a,w2v,1,0.704545455
MEN,w2v,1,0.650340794
WS353,w2v,1,0.578667176
WS353R,w2v,1,0.518306181
WS353S,w2v,1,0.658305533
SimLex999,w2v,1,0.36253633
RW,w2v,1,0.379522411
RG65,w2v,1,0.665668611
MTurk,w2v,1,0.622900409
Google,w2v,1,0.638763815
MSR,w2v,1,0.51925
SemEval2012_2,w2v,1,0.156023599
8-8-8 OPP,w2v,1,43.75
8-8-8 Accuracy ,w2v,1,9.375
AP,glove,1,0.502487562
BLESS,glove,1,0.545
Battig,glove,1,0.261709042
ESSLI_2c,glove,1,0.555555556
ESSLI_2b,glove,1,0.75
ESSLI_1a,glove,1,0.75
MEN,glove,1,0.553004107
WS353,glove,1,0.41514946
WS353R,glove,1,0.405280554
WS353S,glove,1,0.507202602
SimLex999,glove,1,0.276066022
RW,glove,1,0.301737456
RG65,glove,1,0.443465815
MTurk,glove,1,0.558776658
Google,glove,1,0.521182972
MSR,glove,1,0.4315
SemEval2012_2,glove,1,0.1157449
8-8-8 OPP,glove,1,45.117
8-8-8 Accuracy ,glove,1,12.5
AP,fastText,1,0.5
BLESS,fastText,1,0.52
Battig,fastText,1,0.283119862
ESSLI_2c,fastText,1,0.6
ESSLI_2b,fastText,1,0.725
ESSLI_1a,fastText,1,0.681818182
MEN,fastText,1,0.568876013
WS353,fastText,1,0.464706998
WS353R,fastText,1,0.3705253
WS353S,fastText,1,0.562331438
SimLex999,fastText,1,0.338795279
RW,fastText,1,0.325147101
RG65,fastText,1,0.497011291
MTurk,fastText,1,0.62867806
Google,fastText,1,0.455792059
MSR,fastText,1,0.648
SemEval2012_2,fastText,1,0.163732152
8-8-8 OPP,fastText,1,41.21
8-8-8 Accuracy ,fastText,1,7.8125
AP,w2v,2,0.547263682
BLESS,w2v,2,0.595
Battig,w2v,2,0.332632384
ESSLI_2c,w2v,2,0.6
ESSLI_2b,w2v,2,0.75
ESSLI_1a,w2v,2,0.727272727
MEN,w2v,2,0.652707127
WS353,w2v,2,0.58126438
WS353R,w2v,2,0.521375115
WS353S,w2v,2,0.665575918
SimLex999,w2v,2,0.361309573
RW,w2v,2,0.384299061
RG65,w2v,2,0.65303625
MTurk,w2v,2,0.624610454
Google,w2v,2,0.636000819
MSR,w2v,2,0.51975
SemEval2012_2,w2v,2,0.163240187
8-8-8 OPP,w2v,2,43.5546875
8-8-8 Accuracy ,w2v,2,10.9375
AP,glove,2,0.487562189
BLESS,glove,2,0.56
Battig,glove,2,0.264194227
ESSLI_2c,glove,2,0.555555556
ESSLI_2b,glove,2,0.8
ESSLI_1a,glove,2,0.681818182
MEN,glove,2,0.555823815
WS353,glove,2,0.423449865
WS353R,glove,2,0.40304475
WS353S,glove,2,0.518534671
SimLex999,glove,2,0.281318929
RW,glove,2,0.295253907
RG65,glove,2,0.504551368
MTurk,glove,2,0.545912615
Google,glove,2,0.522513303
MSR,glove,2,0.4295
SemEval2012_2,glove,2,0.12637627
8-8-8 OPP,glove,2,44.921875
8-8-8 Accuracy ,glove,2,10.9375
AP,fastText,2,0.507462687
BLESS,fastText,2,0.53
Battig,fastText,2,0.295736953
ESSLI_2c,fastText,2,0.622222222
ESSLI_2b,fastText,2,0.725
ESSLI_1a,fastText,2,0.681818182
MEN,fastText,2,0.568536199
WS353,fastText,2,0.462607904
WS353R,fastText,2,0.368913031
WS353S,fastText,2,0.558753763
SimLex999,fastText,2,0.339683431
RW,fastText,2,0.327216444
RG65,fastText,2,0.473866532
MTurk,fastText,2,0.62925349
Google,fastText,2,0.457480557
MSR,fastText,2,0.648125
SemEval2012_2,fastText,2,0.170365049
8-8-8 OPP,fastText,2,40.8203125
8-8-8 Accuracy ,fastText,2,6.25
AP,w2v,3,0.552238806
BLESS,w2v,3,0.65
Battig,w2v,3,0.325941503
ESSLI_2c,w2v,3,0.622222222
ESSLI_2b,w2v,3,0.75
