,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,-0.0269,-0.0944,5.8e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.3875,1.1845,2.8e-03
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.0208,0.071,4.4e-01
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,-0.124,-0.7203,9.4e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.3007,1.0241,1.1e-02
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,-0.0176,-0.0462,5.4e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.3251,1.0536,9.2e-03
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.1202,0.5433,1.2e-01
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,0.2056,0.672,7.4e-02
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,-0.0115,-0.0365,5.3e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.0369,0.061,4.5e-01
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.5007,1.6692,5.4e-06
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.2692,1.3402,3.7e-04
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,0.1012,0.3193,2.5e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,0.1338,0.2338,3.1e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,0.3017,1.2292,2.2e-03
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.3646,0.5369,1.2e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.2371,0.6758,7.2e-02
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.2092,0.591,1.0e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,0.1835,0.6211,9.0e-02
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.0304,0.1269,4.0e-01
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.4903,1.6228,5.4e-06
