,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,0.2181,0.715,6.2e-02
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.7126,1.2526,1.5e-03
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.0656,0.1171,4.0e-01
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,0.0743,0.2285,3.1e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.3064,0.6508,8.0e-02
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,0.4662,0.3208,2.5e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.3686,0.3478,2.3e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,-0.1947,-0.5647,8.9e-01
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,-0.0594,-0.2271,6.8e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.2625,0.4337,1.8e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.4496,0.842,3.2e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.7871,0.8592,2.9e-02
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.4166,0.7503,5.2e-02
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,-0.1064,-0.194,6.6e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,-0.0594,-0.1021,5.9e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,0.2733,0.4766,1.6e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.077,0.1084,4.1e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.7758,0.6482,8.1e-02
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.0484,0.1442,3.8e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,0.2133,0.2479,3.0e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.3049,1.0584,7.9e-03
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.7499,1.0412,1.0e-02
