,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,0.1705,0.4948,1.5e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.8653,1.5779,1.6e-05
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.2903,1.1149,6.0e-03
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,0.1879,0.7703,4.7e-02
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.2295,0.982,1.4e-02
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,0.2503,0.7038,6.4e-02
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.1124,0.3306,2.4e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.1647,0.7796,4.5e-02
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,-0.1617,-0.4697,8.4e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.2635,0.7648,4.6e-02
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.246,0.8679,2.9e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.3723,1.3679,7.0e-04
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.2063,0.7921,4.2e-02
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,-0.1251,-0.3962,8.0e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,0.1069,0.1903,3.4e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,0.0256,0.1447,3.8e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.1173,0.3375,2.4e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.3894,1.2201,2.5e-03
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.0388,0.1406,3.8e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,-0.008,-0.0392,5.3e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.4507,1.3698,2.4e-04
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.8061,1.5339,4.9e-05
